id,fen,side_to_move,solution_moves,pre_eval_cp,best_eval_cp,played_eval_cp,eval_gap_cp,heuristic_difficulty,is_mate,source_game,created_at,label_good
1,r1bqkb1r/pp1p1ppp/2n2n2/2p1p3/2P4P/2N1P3/PP1PNPP1/R1BQKB1R b KQkq - 3 5,b,"[""d7d5""]",-49,60,-61,121,1000.0,0,cahxree_2024_2025.pgn#0#ply10,2025-12-02 21:16:25,0
2,r1bqk2r/1p1p1ppp/p1nb4/2p1p3/2P1N2P/4P3/PP1P1PP1/R1BQKB1R b KQkq - 0 8,b,"[""d6e7""]",-28,17,-46,63,1000.0,0,cahxree_2024_2025.pgn#0#ply16,2025-12-02 21:16:26,0
3,r1b1k2r/1pbpq1pp/p1n5/2p1ppN1/2P4P/1P2P3/PB1P1PP1/R2QKB1R b KQkq - 1 11,b,"[""g7g6""]",-51,39,-43,82,1000.0,0,cahxree_2024_2025.pgn#0#ply22,2025-12-02 21:16:28,0
4,r4k1r/1pbbq1p1/p1np3p/2p1ppNQ/2P4P/PP2P3/1B1PBPP1/R3K2R b KQ - 4 16,b,"[""g7g6""]",-342,375,190,185,1000.0,0,cahxree_2024_2025.pgn#0#ply32,2025-12-02 21:16:30,0
5,r4k1r/1pbb2p1/p1np1q1p/2p1ppNQ/2P2P1P/PP2P3/1B1PB1P1/R3K2R b KQ - 0 17,b,"[""g7g6""]",-281,281,196,85,1000.0,0,cahxree_2024_2025.pgn#0#ply34,2025-12-02 21:16:30,0
6,r3bk1r/1pb3p1/p1npq3/2p1ppP1/2P4P/PP2PQ2/1B1PB1P1/2KR3R b - - 2 20,b,"[""e8h5""]",-306,293,-90,383,1150.0,0,cahxree_2024_2025.pgn#0#ply40,2025-12-02 21:16:32,1
7,r3bk1r/2b3p1/p1np4/1pp2PP1/2P1p2P/PP2P3/1B1PB3/2KR3R b - - 0 23,b,"[""e8h5""]",-143,139,82,57,1000.0,0,cahxree_2024_2025.pgn#0#ply46,2025-12-02 21:16:33,0
8,r3bk1r/2b3p1/p1np4/2p2PP1/2B1p2P/PP2P3/1B1P4/2KR3R b - - 0 24,b,"[""c7d8""]",-32,0,-139,139,1000.0,0,cahxree_2024_2025.pgn#0#ply48,2025-12-02 21:16:34,0
9,r1bq1rk1/1p3ppp/p1nbp3/8/3PB3/5N2/PP3PPP/R1BQR1K1 b - - 0 12,b,"[""h7h6""]",57,-53,-122,69,1000.0,0,cahxree_2024_2025.pgn#1#ply24,2025-12-02 21:16:40,0
10,r1b1qrk1/6pp/p1p1p3/4Pp2/8/4B3/PP3PPP/R2QR1K1 b - - 2 16,b,"[""f8f7""]",46,-49,-157,108,1000.0,0,cahxree_2024_2025.pgn#1#ply32,2025-12-02 21:16:41,0
11,r3r1k1/6pp/2p1p1q1/p1B1Pp2/1Pb5/P5Q1/5PPP/R3R1K1 b - - 4 21,b,"[""g6g3""]",-6,1,-68,69,1000.0,0,cahxree_2024_2025.pgn#1#ply42,2025-12-02 21:16:44,0
12,r3r1k1/5qpp/2p1p3/p1BbPp2/1P3P1P/P5Q1/6P1/R3R1K1 b - - 0 23,b,"[""e8b8""]",-103,118,37,81,1000.0,0,cahxree_2024_2025.pgn#1#ply46,2025-12-02 21:16:45,0
13,r3r1k1/5qp1/2p1p2p/p1BbPp1P/1P3P1Q/P7/6P1/R3R1K1 b - - 1 26,b,"[""g8h7""]",-143,164,82,82,1000.0,0,cahxree_2024_2025.pgn#1#ply52,2025-12-02 21:16:46,0
14,r3r1k1/1q4p1/2p1p2p/p1BbPp1P/1P3P1Q/P7/6P1/2R1R1K1 b - - 3 27,b,"[""a5b4""]",-241,265,64,201,1000.0,0,cahxree_2024_2025.pgn#1#ply54,2025-12-02 21:16:47,1
15,2r1r1k1/6p1/2p1p2p/pqBbPp1P/1P3P1Q/P5R1/6P1/4R1K1 b - - 7 29,b,"[""c8c7""]",-78,67,-339,406,1150.0,0,cahxree_2024_2025.pgn#1#ply58,2025-12-02 21:16:48,0
16,2r1r3/6pk/2p1p1Rp/p1BbPp1P/1Pq2P1Q/P3R3/6P1/6K1 b - - 11 31,b,"[""e8g8""]",72,-161,-100000,99839,1150.0,0,cahxree_2024_2025.pgn#1#ply62,2025-12-02 21:16:49,0
17,rnbqkbnr/ppp1pppp/8/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,b,"[""d5e4""]",-92,94,-44,138,1000.0,0,cahxree_2024_2025.pgn#2#ply4,2025-12-02 21:16:50,0
18,rn2kb1r/ppp1pppp/5n2/3q4/6b1/5N1P/PPPPBPP1/RNBQK2R b KQkq - 0 5,b,"[""g4f3""]",31,-37,-100,63,1000.0,0,cahxree_2024_2025.pgn#2#ply10,2025-12-02 21:16:51,0
19,rn2kb1r/ppp1pppp/5n2/3q3b/8/3P1N1P/PPP1BPP1/RNBQK2R b KQkq - 0 6,b,"[""b8c6""]",11,-7,-66,59,1000.0,0,cahxree_2024_2025.pgn#2#ply12,2025-12-02 21:16:52,0
20,r2q1rk1/pp3pp1/3pp2p/3n4/3n4/P2P3P/1PPB1PPN/R2Q1RK1 b - - 4 16,b,"[""e6e5""]",-30,38,-66,104,1000.0,0,cahxree_2024_2025.pgn#2#ply32,2025-12-02 21:16:56,0
21,r4rk1/2q2pp1/3pp2p/pp1n4/3P2Pn/P1P3QP/1P1B1P1N/R4RK1 b - - 2 21,b,"[""h4g6""]",-86,86,17,69,1000.0,0,cahxree_2024_2025.pgn#2#ply42,2025-12-02 21:16:59,0
22,r4rk1/2q5/3ppp1p/pp1n2p1/3P1PPn/P1P3QP/1P1B3N/4RRK1 b - - 1 23,b,"[""e6e5""]",-33,26,-41,67,1000.0,0,cahxree_2024_2025.pgn#2#ply46,2025-12-02 21:17:00,0
23,4rrk1/8/3ppp1p/pp1n2p1/2qP1PPP/P1P2RQ1/1P1B4/4R1K1 b - - 0 26,b,"[""d5f4""]",26,-17,-92,75,1000.0,0,cahxree_2024_2025.pgn#2#ply52,2025-12-02 21:17:01,0
